Year,Cumulative_Invested,Cash_in_Hand,Asset_Value,Total_Value,Annual_Realised_PnL,Annual_STCG_Tax_20pct,Annual_LTCG_Tax_12.5pct,Annual_Total_Tax,Cumulative_STCG_Tax,Cumulative_LTCG_Tax,Cumulative_Tax,Net_After_Tax
2016,240000.0,5658.384822729262,116167.03858159369,121825.42340432295,25658.38482272925,5131.67696454585,0.0,5131.67696454585,5131.67696454585,0.0,5131.67696454585,116693.7464397771
2017,380000.0,12934.189771128236,137491.87765448057,150426.0674256088,27275.804948398974,5455.1609896797945,0.0,5455.1609896797945,10586.837954225646,0.0,10586.837954225646,139839.22947138315
2018,600000.0,10542.63044628188,170454.21027764998,180996.84072393185,37608.44067515363,6712.022492636152,506.04102649661036,7218.063519132762,17298.860446861796,506.04102649661036,17804.901473358404,163191.93925057343
2019,780000.0,1108.942483479943,212288.5756831638,213397.51816664374,30566.31203719807,6113.262407439614,0.0,6113.262407439614,23412.12285430141,506.04102649661036,23918.16388079802,189479.3542858457
2020,1020000.0,6937.399405539549,261369.61387879608,268307.0132843356,45828.4569220596,6314.379875544352,1782.0696930422314,8096.449568586584,29726.50272984576,2288.1107195388417,32014.613449384604,236292.399834951
2021,1700000.0,8382.720019496977,367494.9842454953,375877.70426499227,121445.32061395745,19236.1126375851,3158.094678253987,22394.20731583909,48962.61536743086,5446.205397792828,54408.82076522369,321468.8834997686
2022,2000000.0,795.8577752092606,441185.47146442276,441981.329239632,52413.13775571228,7110.954018183404,2107.2959580994084,9218.249976282812,56073.56938561426,7553.501355892237,63627.0707415065,378354.25849812553
2023,2380000.0,130515.40368472328,434336.6142440805,564852.0179288038,89719.54590951401,11315.511281632871,4142.748687668709,15458.25996930158,67389.08066724712,11696.250043560945,79085.33071080806,485766.68721799576
2024,3300000.0,10022.147472172812,597506.2711745778,607528.4186467506,139506.7437874495,21035.349447847413,4291.249568526551,25326.599016373963,88424.43011509454,15987.499612087495,104411.92972718204,503116.4889195686
2025,3600000.0,25055.15007302302,699364.9234344093,724420.0735074324,55033.0026008502,3390.4604815946627,4760.087524109612,8150.548005704275,91814.89059668919,20747.587136197108,112562.4777328863,611857.595774546
2026,3800000.0,19064.10470228005,683487.7499570481,702551.8546593281,34008.95462925703,2537.7294622063127,2665.038414778184,5202.767876984497,94352.6200588955,23412.625550975292,117765.24560987079,584786.6090494574
